"","day.of.year","airport.code","avg.delay","lat","lon","city","state","airport"
"14981","180","CRW",107.5,"38.3697","-81.5951","Charleston","West Virginia","Yeager Airport"
"14982","180","CVG",36.6,"39.0571","-84.6625","Hebron","Ohio","Greater Cincinnati International Airport"
"14983","180","DAL",74.3333333333333,"32.8439","-96.8496","Dallas","Texas","Dallas Love Field Airport"
"14984","180","DAY",30,"39.8968","-84.2207","Dayton","Ohio","James M Cox Dayton International Airport"
"14985","180","DCA",30.25,"38.849","-77.0438","Arlington","Virginia","Washington National Airport"
"14986","180","DEN",28.2,"39.8396","-104.672","Denver","Colorado","Denver International Airport"
"14987","180","DFW",79.4117647058823,"32.9222","-97.0409","Dallas","Texas","Fort Worth International Airport"
"14988","180","DLH",18,"46.838","-92.1781","Duluth","Minnesota","Duluth International Airport"
"14989","180","DSM",27.25,"41.5328","-93.6481","Des Moines","Iowa","Des Moines International Airport"
"14990","180","DTW",52.7777777777778,"42.2327","-83.3412","Detroit","Michigan","Detroit Metropolitan Wayne County Airport"
"14991","180","ELP",67,"31.7982","-106.393","El Paso","Texas","El Paso International Airport"
"14992","180","EVV",6,"38.0464","-87.5308","Evansville","Indiana","Evansville Regional Airport"
"14993","180","EWR",78.5,"40.6924","-74.1843","Newark","New Jersey","Newark International Airport"
"14994","180","FAT",127,"36.7675","-119.717","Fresno","California","Fresno Yosemite International Airport"
"14995","180","FCA",47,"48.3075","-114.252","Kalispell","Montana","Glacier Park International Airport"
"14996","180","FLL",28.3333333333333,"26.0722","-80.1354","Dania Beach","Florida","Fort Lauderdale Hollywood International Airport"
"14997","180","FNT",15,"42.9756","-83.7411","Flint","Michigan","Bishop International Airport"
"14998","180","FSD",34,"43.5813","-96.7317","Sioux Falls","South Dakota","Sioux Falls Regional Airport"
"14999","180","FSM",64,"36.1881","-94.4944","Fort Smith","Arkansas","Smith Field Airport"
"15000","180","GEG",21,"47.625","-117.538","Spokane","Washington","Spokane International Airport"
"15001","180","GPT",75,"30.4133","-89.072","Gulfport","Mississippi","Gulfport Biloxi Regional Airport"
